id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
14806,489,2014-07-22,HEALTH AND FAMILY WELFARE,"Overcharging patients by Hospitals for Medical Devices like stents, implants and pace-makers",,232/200,,"Rajani Ashokrao Patil, Shadi LalBatra, Shantaram Naik, VIPOLVE THAKUR"
14807,489,2016-04-28,EXTERNAL AFFAIRS,Indo-Pak peace talks,,239/55,SQ 49,
14808,489,2009-02-24,PETROLEUM AND NATURAL GAS,Social responsibilities of oil companies,,215/55,SQ 102,
14809,489,2008-03-03,SOCIAL JUSTICE AND EMPOWERMENT,reservation benefits to dalit christians and muslims,,213/71,SQ 66,
14810,489,2006-02-21,FINANCE AND COMPANY AFFAIRS,Lower interest rate on Loans to Farmers,,207/26,SQ 46,
14811,1391,2012-03-28,URBAN DEVELOPMENT,Revised master plan for GNIDA,,225/165,USQ 1698,
14812,1391,2009-11-25,HOME AFFAIRS,Pending bill of Orissa regarding Scheduled Tribes,,218/92,USQ 692,
14813,1391,1999-12-01,TEXTILES,New Textile Policy,,188/66,USQ 283,
14814,1391,1999-12-03,HUMAN RESOURCE DEVELOPMENT,Review of the working of National Book Trust,,188/51,USQ 477,
14815,1391,1998-12-09,HOME AFFAIRS,NGOs in Orissa.,,185/80,USQ 1122,
14816,1391,1997-07-23,RURAL DEVELOPMENT,Implementation of Indira Awas Yojana in Orissa,,181/19,USQ 89,
14817,1391,1998-07-14,FINANCE AND COMPANY AFFAIRS,Loans extended by banks under IRDP,,184/5,USQ 2989,
14818,2279,2024-12-17,NEW AND RENEWABLE ENERGY,NATIONAL GREEN HYDROGEN MISSION,,266/122,USQ 2543,Haris Beeran
14819,2279,2022-03-14,PETROLEUM AND NATURAL GAS,CSR budget of GAIL,,256/137,USQ 1431,
14820,2279,2022-02-10,"Environment, Forests  & Climate Change",,,256/107,SQ 97,
14821,2279,2016-08-09,"AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA",Report on efficacy of Putra Jeevak Vati,,240/243,USQ 2592,
14822,2279,2015-05-08,Communications,Law with the concept of Net Neutrality,,235/111,USQ 1445,
14823,2279,2015-03-13,Communications,Law for net neutrality,,234/156,USQ 1821,
14824,2279,2014-12-11,URBAN DEVELOPMENT,DPR of colonies in Madhya Pradesh,,233/316,USQ 2159,
14825,2279,2014-12-11,SOCIAL JUSTICE AND EMPOWERMENT,Action on cases referred by Madhya Pradesh,,233/294,SQ 247,"Anil KumarSahani, Digvijaya Singh, Vijaylaxmi Sadho"
14826,2279,2014-12-08,HUMAN RESOURCE DEVELOPMENT,PISA's evaluation of Education system,,233/232,SQ 202,
14827,2279,2014-07-24,URBAN DEVELOPMENT,,,232/222,SQ 245,
14828,2279,2014-07-21,RURAL DEVELOPMENT,Irregularities under MGNREGA in Madhya Pradesh,,232/172,USQ 1323,
14829,2279,2025-12-09,NEW AND RENEWABLE ENERGY,STATUS AND PROGRESS OF PMSGMBY,,269/75,USQ 1112,Jebi Mather Hisham
14830,2279,2025-12-17,ROAD TRANSPORT AND HIGHWAYS,MULTI-LANE FREE FLOW (MLFF) TOLLING AND DIGITAL HIGHWAY MANAGEMENT,,269/20,SQ 182,
14831,2279,2025-07-28,CIVIL AVIATION,"AIRPLANE CRASH INCIDENT IN AHMEDABAD ON 12TH
JUNE, 2025",,268/61,USQ 812,
14832,2279,2024-08-07,SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,Implementation of PMKVY,,265/29,SQ 167,
14833,2279,2023-12-15,Communications,Net Neutrality,,262/18,USQ 1500,Priyanka Chaturvedi
14834,2279,2022-07-20,HOME AFFAIRS,Accomodation for migrant workers in Kashmir,,257/71,USQ 387,
14835,2279,2021-08-02,"Environment, Forests  & Climate Change",National Board for Wildlife,,254/61,USQ 1489,G.C. Chandrashekhar
14836,2279,2021-02-10,HOME AFFAIRS,Rules under CAA,,253/40,USQ 1000,
14837,2279,2019-01-04,AGRICULTURE AND FARMERS WELFARE,Criteria for declaring MSP for CROPS,,247/78,SQ 242,
14838,2279,2018-12-27,HUMAN RESOURCE DEVELOPMENT,Release of funds for Pre and Post- Matric Scholarships,,247/77,USQ 1670,
14839,2279,2017-07-31,RURAL DEVELOPMENT,Review of MGNREGA,,243/74,SQ 152,
14840,2279,2015-07-29,HOME AFFAIRS,Simplifying rules for issuance and renewal of Gun License,,236/74,USQ 1039,
14841,2279,2015-07-24,Communications,Decision on NET Neutrality,,236/44,USQ 570,
14842,2279,2022-12-09,Communications,"Draft Telecommunication Bill, 2022",,258/8,USQ 383,"AmeeYajnik, Vivek K. Tankha"
14843,2279,2019-06-24,COAL,Import and production of coal,,249/9,SQ 18,
14844,2281,2019-07-18,TRIBAL AFFAIRS,Pending Proposal of Rajasthan and Delhi,,249/136,USQ 2981,
14845,2281,2016-05-13,LAW  AND JUSTICE,Voting rights for NRIs and migrant labourers,,239/277,USQ 2358,
14846,2281,2016-05-05,HUMAN RESOURCE DEVELOPMENT,Compulsory aptitude test for students,,239/157,USQ 1347,
14847,2281,2016-05-04,PETROLEUM AND NATURAL GAS,Startup fund for the hydrocarbon sector,,239/147,USQ 1246,
14848,2281,2016-05-04,CULTURE,Revenue generation from monuments,,239/138,USQ 1160,
14849,2281,2016-05-03,INFORMATION AND BROADCASTING,Special fund for India's Oscar entries,,239/129,USQ 1111,
14850,2281,2016-03-04,COMMUNICATIONS & INFORMATION TECHNOLOGY,Single emergency numer,,238/117,USQ 1029,
14851,2281,2015-12-23,HOME AFFAIRS,"Anti-Sikh Riots, 1984",,237/279,USQ 2814,
14852,2281,2015-12-22,INFORMATION AND BROADCASTING,Misuse of community Radio,,237/258,SQ 252,
14853,2281,2015-08-13,URBAN DEVELOPMENT,Re- Development of Lutyens Bungalow zone,,236/200,USQ 2854,
14854,2281,2015-08-06,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Reducing the Numbers of CVOS,,236/131,SQ 195,Aas Mohammad
14855,2281,2015-03-16,ROAD TRANSPORT AND HIGHWAYS,Protective devices on Heavy  vehicles and trucks,,234/183,USQ 2028,
14856,2281,2015-03-10,CHEMICALS AND FERTILIZERS,Procuring of Essential Medicines,,234/110,USQ 1422,
14857,2281,2014-12-19,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Functioning of Consumer courts,,233/418,USQ 3076,
14858,2281,2014-12-18,"SKILL DEVELOPMENT, ENTREPRENEURSHIP, YOUTH",Skill Development Centres,,233/394,USQ 2926,
14859,2281,2014-12-18,"SKILL DEVELOPMENT, ENTREPRENEURSHIP, YOUTH",suitable skills for labour  market,,233/393,USQ 2925,
14860,2281,2014-12-17,YOUTH AFFAIRS & SPORTS,Corruption in Commonwealth Games,,233/380,USQ 2827,
14861,2281,2014-12-15,WATER RESOURCES,Prevention of Discharge of untreated Water into Ganga,,233/353,USQ 2492,
14862,2281,2014-12-10,HOME AFFAIRS,Public Transport System in Delhi,,233/277,USQ 1912,PRABHAT JHA
14863,2281,2014-12-08,ROAD TRANSPORT AND HIGHWAYS,Delhi-Jaipur Express way,,233/242,USQ 1647,
14864,2281,2014-12-05,TEXTILES,Market for handloom products,,233/230,USQ 1547,PRABHAT JHA
14865,2281,2014-12-05,LAW  AND JUSTICE,Barring criminals from contesting elections,,233/206,SQ 183,
14866,2281,2014-12-03,LABOUR AND EMPLOYMENT,Turning Rajasthan Employment exchange  into a Career promotion Centre,,233/183,USQ 1182,
14867,2281,2014-12-02,FINANCE,Non-performing Assets,,233/149,USQ 991,
14868,2281,2014-11-28,CHEMICALS AND FERTILIZERS,Capacity of urea manufacturing plants,,233/112,USQ 664,
14869,2281,2014-08-13,YOUTH AFFAIRS & SPORTS,Training to sports persons from rural areas,,232/536,USQ 3828,
14870,2281,2014-08-14,URBAN DEVELOPMENT,Regularization in Lal Dora villages,,232/472,USQ 3917,Vijay Goel
14871,2281,2014-08-13,HOME AFFAIRS,Compensation to families of security personnel killed in maoist attacks,,232/456,SQ 505,
14872,2281,2014-07-31,HOUSING AND URBAN POVERTY ALLEVIATION,Change in the housing loan policy,,232/436,SQ 324,
14873,2281,2014-08-01,LAW  AND JUSTICE,Uniform civil code,,232/421,USQ 2544,
14874,2281,2014-08-08,COMMUNICATIONS & INFORMATION TECHNOLOGY,Action plan to implement good governance and E-Governance,,232/376,USQ 3275,PRABHAT JHA
14875,2281,2014-08-05,HEALTH AND FAMILY WELFARE,Setting up of super-speciality institutes under PMSSY.,,232/306,USQ 2854,PRABHAT JHA
14876,2281,2014-07-25,CHEMICALS AND FERTILIZERS,Setting up of special economic zones abroad,,232/244,USQ 1866,PRABHAT JHA
14877,2281,2014-07-17,TRIBAL AFFAIRS,Non-disbursal of funds for ashram schools in Rajasthan,,232/146,USQ 1026,
14878,2281,2020-03-13,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Financial crisis being faced by sugar mills,,251/82,SQ 214,
14879,2281,2020-03-06,AGRICULTURE AND FARMERS WELFARE,,,251/63,USQ 1790,
14880,2281,2020-02-05,HOME AFFAIRS,Revenue generated from  lotteries,,251/11,USQ 392,
14881,2281,2020-02-05,HOME AFFAIRS,Committee on banning lottery,,251/10,USQ 391,"Chhaya Verma, Vishambhar Prasad Nishad"
14882,2281,2016-04-27,STEEL,Incentivising international players to invest in domestic steel companies,,239/49,USQ 452,
14883,2281,2015-07-30,HOUSING AND URBAN POVERTY ALLEVIATION,Implementation of Street Vendors Act,,236/82,USQ 1183,
14884,2281,2015-04-27,HUMAN RESOURCE DEVELOPMENT,Education of Poor,,235/20,SQ 33,
14885,2281,2015-02-27,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Amendment in Consumer Protection Act,,234/54,USQ 565,
14886,2281,2015-02-26,URBAN DEVELOPMENT,Funds for Relocation of families from Railways land,,234/42,USQ 452,
14887,2281,2014-11-25,DEFENCE,Investigation into submarines accidents,,233/39,USQ 211,PRABHAT JHA
14888,2281,2014-07-07,WATER RESOURCES,planning for pollution free ganga,,232/30,USQ 116,
14889,2282,2016-07-26,DEFENCE,Call Centres and rest houses for soldiers,,240/106,USQ 905,
14890,2282,2015-12-18,COMMUNICATIONS & INFORMATION TECHNOLOGY,WI-FI facilities in cities of Rajasthan,,237/227,USQ 2291,
14891,2282,2015-12-17,EXTERNAL AFFAIRS,Passport seva Kendra in Rajasthan,,237/204,USQ 2098,
14892,2282,2015-12-15,DEFENCE,Dedicated call centres for soldiers,,237/175,USQ 1818,
14893,2282,2014-08-13,COMMERCE AND INDUSTRY,Marble import policy,,232/519,USQ 3721,
14894,2282,2014-07-31,NITI AYOG,Criteria for granting special category status to a state,,232/437,SQ 325,
14895,2282,2017-02-08,TOURISM,Annual revenue and expenditure on tourist places in Rajasthan,,242/58,USQ 777,
14896,2282,2016-04-29,AGRICULTURE AND FARMERS WELFARE,Setting up of Soil testing Laboratories in Rajasthan,,239/80,USQ 656,K.P.Ramalingam
14897,2282,2014-07-14,ROAD TRANSPORT AND HIGHWAYS,Delhi-Jaipur Expressway,,232/94,USQ 606,Ram Narain Dudi
14898,2282,2019-06-21,RAILWAYS,Proposed Railway projects in Rajasthan,,249/4,SQ 12,
14899,943,1998-12-14,SOCIAL JUSTICE AND EMPOWERMENT,Condition of homes for mentally handicapped.,,185/88,USQ 1632,
14900,943,1998-12-08,CIVIL AVIATION,Reduction of Government equity in Air India.,,185/86,USQ 944,
14901,943,1998-12-09,HOME AFFAIRS,Strike by DANICS and DASS Officers.,,185/75,SQ 145,
14902,943,1997-11-21,ENVIRONMENT AND FORESTS,Sound and air pollution in Delhi,,182/15,USQ 349,
14903,943,1994-12-09,SOCIAL JUSTICE AND EMPOWERMENT,Implementation of Mandal Commission Recommendations.,,172/10,USQ 665,
14904,943,1997-05-14,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Vacant posts reserved for SCs/STs /OBCs,,180/9,USQ 4179,
14905,943,1997-02-24,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Backlog in reservation quota in jobs for OBCs,,180/8,USQ 261,
14906,943,1996-03-01,SOCIAL JUSTICE AND EMPOWERMENT,Extension of reservation in promotions to class-I posts to OBCs,,176/9,USQ 546,
14907,943,1989-05-09,HEALTH AND FAMILY WELFARE,Trade names of drugs and Pharmceuticals,,150/1,USQ 1742,
14908,2283,2019-12-10,TOURISM,Up gradation of food craft institute at Baran in Rajasthan.,,250/103,USQ 2547,
14909,2283,2016-12-08,SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,Schemes of the Ministry in Rajasthan,,241/146,USQ 2678,
14910,2283,2016-08-02,DEFENCE,Reimbursement for damage caused by crashes of fighter plants,,240/175,USQ 1701,
14911,2283,2016-03-16,HOME AFFAIRS,Battalion of RAF of CRPF in States,,238/251,USQ 2150,
14912,2283,2015-12-23,PETROLEUM AND NATURAL GAS,Setting up of a refinery in Rajasthan,,237/284,USQ 2841,
14913,2283,2015-12-18,LAW  AND JUSTICE,Pendency of cases in various courts,,237/234,USQ 2358,
14914,2283,2015-08-11,HEALTH AND FAMILY WELFARE,Super specialty blocks in Medical Colleges in Rajasthan,,236/171,USQ 2533,
14915,2283,2015-08-07,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Providing food subsidy directly to beneficiaries,,236/150,USQ 2163,
14916,2283,2015-05-11,RURAL DEVELOPMENT,Pending proposals under PMGSY from Rajasthan,,235/118,USQ 1678,
14917,2283,2014-12-23,HEALTH AND FAMILY WELFARE,"Commencement of AIIMS, Jodhpur",,233/463,USQ 3443,
14918,2283,2014-08-13,MINES,Curb on illegal mining,,232/525,USQ 3797,
14919,2283,2014-08-14,"Environment, Forests  & Climate Change",Creation of eco-sensitive zone around wildlife sancturay,,232/469,USQ 3854,
14920,2283,2014-07-25,CHEMICALS AND FERTILIZERS,Production capacity of Chambal Fertilizers and Chemicals Ltd.,,232/245,USQ 1870,
14921,2283,2019-12-05,LAW  AND JUSTICE,Delay in Criminal Justice Sysytem,,250/69,SQ 182,
14922,2283,2019-12-04,SOCIAL JUSTICE AND EMPOWERMENT,Scholarship for students from weaker sections to study abroad.,,250/63,SQ 169,
14923,2283,2019-07-01,MICRO SMALL AND MEDIUM ENTERPRISES,Loans to MSMEs,,249/64,SQ 97,
14924,2283,2019-07-02,HEALTH AND FAMILY WELFARE,Attacks on Doctors and Medical Staff,,249/56,USQ 1164,
14925,2283,2015-04-30,URBAN DEVELOPMENT,Urban sewage scheme in Rajasthan,,235/66,USQ 892,
14926,2283,2014-07-08,CIVIL AVIATION,Proposal for the construction of Jodhpur airport in Rajasthan,,232/40,SQ 36,
14927,2283,2017-12-15,CHEMICALS AND FERTILIZERS,increase in dealer margin of fertilizer retailers,,244/6,USQ 36,
14928,2284,2018-04-02,DEFENCE,Restoration of Ex-servicemen category to MINS Officer,,245/145,USQ 3844,
14929,2284,2016-08-12,LAW  AND JUSTICE,Central Regulatory Authorities,,240/269,USQ 3048,
14930,2284,2016-08-05,LAW  AND JUSTICE,Online voting by defence and paramilitary personnel,,240/214,USQ 2242,
14931,2284,2016-07-26,FINANCE,Implementation of OROP Scheme,,240/100,SQ 92,
14932,2284,2016-05-03,DEFENCE,Rehabilitation policy for injured servicemen,,239/119,USQ 1007,
14933,2284,2015-03-16,RURAL DEVELOPMENT,Coverage of Indira Awaas Yojana,,234/173,SQ 183,
14934,2284,2016-07-26,DEFENCE,Implementation of OROP Scheme,,240/99,SQ 92,
14935,2284,2016-07-25,"WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVE",Feasibility report for linking of rivers under NPP,,240/98,USQ 853,
14936,2284,2016-07-18,PANCHAYATI RAJ,Elections in Panchayats,,240/13,USQ 68,
14937,2284,2016-02-26,LAW  AND JUSTICE,Online voting by defence and para military personnel,,238/44,USQ 418,
14938,2284,2016-02-26,RAILWAYS,Providing clean and hygienic bedding to passengers,,238/32,SQ 33,
14939,2284,2015-12-02,HOME AFFAIRS,Corruption in research projects sponsored by BPR and D,,237/32,USQ 377,
14940,2284,2015-12-02,HOME AFFAIRS,Criteria for award of Research Project by BPR&D,,237/31,USQ 376,
14941,2284,2015-03-09,ROAD TRANSPORT AND HIGHWAYS,Safety  limits of vehicular pollution,,234/97,USQ 1220,
14942,2285,2022-03-30,Education,"Reservation in BHU, Varanasi",,256/278,USQ 3051,Ram Nath Thakur
14943,2285,2019-07-24,SOCIAL JUSTICE AND EMPOWERMENT,Exclusion of castes from OBC list,,249/157,SQ 334,
14944,2285,2016-08-03,HOME AFFAIRS,Spying racket involved in stealing call detail records,,240/193,USQ 1902,"A. K. Selvaraj, D. RAJA, TAPAN KUMAR SEN, Tiruchi Siva"
14945,2285,2016-03-11,RAILWAYS,Irregularities in VRS  appointments,,238/195,USQ 1707,Kanak Lata Singh
14946,2285,2016-03-09,HOME AFFAIRS,Lack of coordination between state and Central Intelligence Agencies,,238/141,SQ 121,
14947,2285,2015-08-12,PETROLEUM AND NATURAL GAS,"Investigation into fire in ONGC oil well at LOpad, Surat",,236/194,USQ 2669,Kanak Lata Singh
14948,2285,2014-12-15,AGRICULTURE,Pradhan Mantri Gram  Sinchai Yojana for farmers,,233/359,USQ 2510,
14949,2285,2014-12-08,SOCIAL JUSTICE AND EMPOWERMENT,"The constitution (scheduled castes) orders (Amendment) Bill, 2014",,233/258,SQ None,
14950,2285,2014-07-28,COAL,Survey for coal reserves,,232/268,USQ 1986,
14951,2285,2021-08-04,SOCIAL JUSTICE AND EMPOWERMENT,"Caste certificates of Nomadic, Semi-Nomadic and De-Notified Tribes",,254/69,USQ 1914,"Chhaya Verma, Sukhram SinghYadav"
14952,2285,2021-07-26,DEFENCE,Transfer of Defence property to successors,,254/22,USQ 665,Sukhram SinghYadav
14953,2285,2018-12-28,RAILWAYS,Allotment of retail outlet/kiosk/land/office space units at Railway Stations,,247/49,USQ 1907,"Chhaya Verma, Sukhram SinghYadav"
14954,2285,2018-03-06,FINANCE,Scams in PSBs involving,,245/53,USQ 1205,"Chhaya Verma, Sukhram SinghYadav"
14955,2285,2017-02-03,RAILWAYS,Reasons behind recent train accidents,,242/21,USQ 28,
14956,2285,2016-11-29,DEFENCE,Scorpene Submarine Data Leak,,241/77,USQ 1491,"Chhaya Verma, Sukhram SinghYadav"
14957,2285,2015-07-21,DEFENCE,Suggestions on OROP scheme,,236/12,USQ 52,Kanak Lata Singh
14958,2285,2017-07-17,COAL,Inspection of coal sale through e-tendering,,243/5,USQ 7,"Chhaya Verma, Sukhram SinghYadav"
14959,2285,2017-02-02,INFORMATION AND BROADCASTING,Guidelines for empanelment of print media with DAVP,,242/2,SQ 1,
14960,1399,1997-03-20,URBAN DEVELOPMENT,Uniform panchayati Raj and Nagar Palika Institutions,,180/31,USQ 2846,
14961,2286,2016-03-14,ROAD TRANSPORT AND HIGHWAYS,New Delhi-Katra Expressway,,238/214,USQ 1856,
14962,2286,2015-12-23,HOME AFFAIRS,Release of caste based census Data,,237/277,USQ 2806,
14963,2286,2015-12-11,FOOD PROCESSING INDUSTRIES,Replies to letters of Members of Parliament,,237/148,USQ 1545,
14964,2286,2015-02-25,HOME AFFAIRS,Fraud and duping by fake employees of banks,,234/249,USQ 212,
14965,2286,2015-03-13,TEXTILES,Replies to letters of Members of Parliament,,234/165,USQ 1917,
14966,2286,2015-03-13,LAW  AND JUSTICE,Letters from Members of Parliament,,234/161,USQ 1863,
14967,2286,2014-12-22,RURAL DEVELOPMENT,Action on Letters of MPs,,233/438,USQ 3276,
14968,2286,2014-11-28,COMMUNICATIONS & INFORMATION TECHNOLOGY,"Deterioration in mobile phone services of MTNL, Delhi",,233/114,USQ 674,
14969,2286,2014-08-12,FINANCE,Penalty on pre-payment of floating rate term loans,,232/488,USQ 3603,
14970,2286,2016-04-25,ROAD TRANSPORT AND HIGHWAYS,Four laning of National Highways,,239/16,USQ 104,
14971,2286,2015-12-07,ROAD TRANSPORT AND HIGHWAYS,Four Laning of NH-91,,237/80,USQ 916,
14972,2286,2015-02-25,COMMERCE AND INDUSTRY,IPR  cases lost against USA,,234/11,SQ 19,
14973,2287,2015-03-09,ROAD TRANSPORT AND HIGHWAYS,Financial Mismanagement in NHAI,,234/91,USQ 108,
14974,2287,2014-11-24,RURAL DEVELOPMENT,Adoption of a Village by Legislators,,233/23,USQ 121,RAJKUMAR DHOOT
14975,2289,2016-03-15,FINANCE,Reviving SFCs in States,,238/237,USQ 2019,
14976,2289,2015-12-22,CORPORATE AFFAIRS,Funds spent on CSR Activities,,237/261,USQ 2584,
14977,2289,2015-12-10,HOUSING AND URBAN POVERTY ALLEVIATION,Urban Local Bodies covered under NULM,,237/122,USQ 1315,
14978,2289,2015-08-12,LABOUR AND EMPLOYMENT,Accidents in factories,,236/193,USQ 2652,
14979,2289,2015-08-06,WOMEN AND CHILD DEVELOPMENT,Mamata scheme in Odisha,,236/141,USQ 2064,
14980,2289,2015-03-19,HOUSING AND URBAN POVERTY ALLEVIATION,Pukka house for slum dwellers,,234/221,USQ 2473,
14981,2289,2015-03-17,FINANCE,Helping hands  of Banks to distressed sectors,,234/198,USQ 2171,
14982,2289,2015-03-16,"WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVE",Industrial discharge into river Ganga,,234/171,SQ 181,
14983,2289,2014-12-19,AGRICULTURE,Agrarian crisis and suicides by farmers in Vidarbha region,,233/405,SQ None,
14984,2289,2014-12-11,URBAN DEVELOPMENT,Programmes for Odisha,,233/317,USQ 2162,
14985,2289,2014-12-10,YOUTH AFFAIRS & SPORTS,Developing world standard  sportspersons,,233/291,USQ 2026,
14986,2289,2014-07-31,URBAN DEVELOPMENT,Urban habitations of Odisha,,232/446,USQ 2364,
14987,2289,2014-07-28,RURAL DEVELOPMENT,Proposal for Houses under IAY,,232/276,USQ 2114,
14988,2289,2014-08-04,HUMAN RESOURCE DEVELOPMENT,Establishment of IIM,,232/263,USQ 2648,
14989,2289,2016-03-03,HUMAN RESOURCE DEVELOPMENT,Additional funds under Mid-Day Meal Scheme for Rajasthan,,238/89,USQ 845,
14990,2289,2014-11-25,HEALTH AND FAMILY WELFARE,Cancer Hospital in Odisha,,233/45,USQ 264,
14991,2289,2014-11-24,DRINKING WATER AND SANITATION,Safe drinking water to people of fluorosis affected areas,,233/15,USQ 30,
14992,2289,2016-03-11,Education,"The Self-Financing Professional Educational Institutions (Control and Regulation  Bill, 2015",,238/7,,
14993,1835,1998-07-13,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Withdrawal of Defence PSU`s Disinvestment Commission,,184/100,SQ 363,
14994,1835,1990-03-27,DEFENCE,Swiss Bank Accounts,,153/2,USQ 1685,"SURESH KALMADI                          , VYJAYANTIMALA BALI"
14995,1403,2016-11-23,HOME AFFAIRS,Meetings of Official Language Implementation Committee,,241/50,USQ 872,
